,Gender,Race,Feature 1,Feature 2,Feature 3,Feature 4,Success
0,Male,Asian,1.2520451854842793,2.1571190057092813,-2.161007748004923,3.814845304668794,No
1,Female,Asian,0.19371179789701032,1.114942688590793,-1.9115555622364184,5.959970628131178,No
2,Female,Asian,-0.5538308162900196,1.6335241340320796,-1.6743707335944742,6.292147109521464,No
3,Male,White,3.2179408795046385,0.6429998724375718,1.8437634609999518,2.1410683181387675,Yes
4,Male,Hispanic,1.9359884635233415,0.924811486079349,4.045071527092675,-0.20392443329016224,Yes
5,Female,White,2.3322985627151933,0.9015053326957277,0.785004062280432,1.972483242588287,No
6,Female,White,1.3379581692488633,3.684600706421831,2.6275209356736284,1.5029263833845738,Yes
7,Male,Asian,1.698950439141246,2.4416604450382113,-2.955650495146976,5.253463699785605,Yes
8,Female,Other,1.9458990112565617,-0.13222416696450523,-2.1756196944053565,-2.568691860901436,No
9,Female,Other,1.0805677462383632,1.8763749595194805,-2.919564521767587,-2.686389524351428,No
10,Female,White,0.7105312694702728,2.004697352708259,1.7853551869758797,3.2728477961672398,Yes
11,Male,Asian,1.8089678755308518,3.661223779509217,0.059711974676073254,4.958924549183212,Yes
12,Female,White,2.039069268348662,0.16212595977577704,1.5731867577865686,4.287723845081508,Yes
13,Female,White,0.8627516965397972,0.06892688906798972,4.170317215570311,2.7120933431488243,Yes
14,Male,Other,-0.3410116173989084,2.469305573391335,-2.657540946086137,-1.7339071153535817,No
15,Female,Asian,1.628104325606138,2.384222979552602,-1.5471548443541865,4.473092266644228,Yes
16,Female,Asian,2.4362141206472603,1.1258383822013378,-2.444230116533451,4.2565316992945235,No
17,Female,White,0.675020063372266,1.6277929852973974,1.5966625007303583,3.0488580884632377,Yes
18,Male,Other,2.001536526558148,1.7244503419098551,-2.7522596406381235,-2.825130991040309,No
19,Male,Hispanic,2.042319757574374,2.2545648592842666,3.0594729400866516,-0.12641682867431314,Yes
20,Male,Hispanic,2.448661281942848,2.1774632532147637,2.417199552683383,0.45908728965927315,Yes
21,Female,White,-0.14624608729082378,1.8424862166996807,1.2322463592345012,1.2602827777859813,No
22,Male,Asian,2.4571056487220226,1.9789808109350668,-1.1655353141799527,5.593563765374081,Yes
23,Female,White,-0.1657964906414835,1.2105806142334972,3.297655124007502,2.100228906960201,Yes
24,Female,Asian,0.6995757674289456,0.6456944776774385,-2.5478967686724396,5.338356446533324,No
25,Male,Other,3.092306181914828,1.1640292254888833,-3.177765805441427,-2.260615665094881,No
26,Female,White,1.90731248094486,0.8816692120677038,3.867089456509317,2.5364281660168326,Yes
27,Female,Hispanic,2.3251606004287444,1.0436106008758443,3.587635044572905,-0.06795128033446811,Yes
28,Male,White,2.5155641547909693,2.4595745662384383,3.5802297706532387,2.8209610275496497,Yes
29,Female,Other,-1.3219119073980403,0.47502582066471355,-4.081362398975792,-4.7144498012089455,No
30,Male,Hispanic,2.5826174314347963,1.0087420489230077,2.943364922959196,-1.822320247470169,No
31,Male,White,1.098638394669576,1.4278807860386222,4.32583752522606,3.0074337463512295,Yes
32,Female,White,3.111530368211757,0.6199559442398448,1.0202494134497213,2.3327218455586043,Yes
33,Female,Asian,0.5205135933301055,0.1586231886832692,-1.8900381310229573,6.901049807469257,No
34,Female,White,0.9149113016922814,1.639911002711604,0.35238487263237395,3.621309205414953,Yes
35,Male,Hispanic,3.3187082758045303,3.658106053221556,2.205951606169558,-0.5619555010556304,Yes
36,Male,Asian,1.322905169299598,2.1559696559984896,-2.7851713689486117,3.050023596710702,No
